"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2013S2","Italy","Euro",":","z"
"2013S2","Cyprus","Euro",":","z"
"2013S2","Latvia","Euro","284.74",""
"2013S2","Lithuania","Euro","289.62",""
"2013S2","Luxembourg","Euro","1,874.19",""
"2013S2","Hungary","Euro","332.37",""
"2013S2","Malta","Euro","702.82",""
"2013S2","Netherlands","Euro","1,477.80",""
"2013S2","Austria","Euro",":","z"
"2013S2","Poland","Euro","368.87",""
"2013S2","Portugal","Euro","565.83",""
"2013S2","Romania","Euro","179.36",""
"2013S2","Slovenia","Euro","783.66",""
"2013S2","Slovakia","Euro","337.70",""
"2013S2","Finland","Euro",":","z"
"2013S2","Sweden","Euro",":","z"
"2013S2","Iceland","Euro",":","z"
"2013S2","Norway","Euro",":","z"
"2013S2","Switzerland","Euro",":","z"
"2013S2","United Kingdom","Euro","1,189.92",""
"2013S2","Montenegro","Euro","288.05",""
"2013S2","North Macedonia","Euro","198.95",""
"2013S2","Albania","Euro","156.07",""
"2013S2","Serbia","Euro","236.27",""
"2013S2","Turkey","Euro","405.20",""
"2013S2","United States","Euro","960.76",""
"2014S1","Belgium","Euro","1,501.82",""
"2014S1","Bulgaria","Euro","173.84",""
"2014S1","Czechia","Euro","309.91",""
"2014S1","Denmark","Euro",":","z"
"2014S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2014S1","Estonia","Euro","355.00",""
"2014S1","Ireland","Euro","1,461.85",""
"2014S1","Greece","Euro","683.76",""
"2014S1","Spain","Euro","752.85",""
"2014S1","France","Euro","1,445.38",""
"2014S1","Croatia","Euro","395.67",""
"2014S1","Italy","Euro",":","z"
"2014S1","Cyprus","Euro",":","z"
"2014S1","Latvia","Euro","320.00",""
"2014S1","Lithuania","Euro","289.62",""
"2014S1","Luxembourg","Euro","1,921.03",""
"2014S1","Hungary","Euro","341.70",""
"2014S1","Malta","Euro","717.95",""
"2014S1","Netherlands","Euro","1,485.60",""
"2014S1","Austria","Euro",":","z"
"2014S1","Poland","Euro","404.40",""
"2014S1","Portugal","Euro","565.83",""
"2014S1","Romania","Euro","190.11",""
"2014S1","Slovenia","Euro","789.15",""
"2014S1","Slovakia","Euro","352.00",""
"2014S1","Finland","Euro",":","z"
"2014S1","Sweden","Euro",":","z"
"2014S1","Iceland","Euro",":","z"
"2014S1","Norway","Euro",":","z"
"2014S1","Switzerland","Euro",":","z"
"2014S1","United Kingdom","Euro","1,251.05",""
"2014S1","Montenegro","Euro","288.05",""
"2014S1","North Macedonia","Euro","213.62",""
"2014S1","Albania","Euro","156.92",""
"2014S1","Serbia","Euro","235.30",""
"2014S1","Turkey","Euro","361.76",""
"2014S1","United States","Euro","911.22",""
"2014S2","Belgium","Euro","1,501.82",""
"2014S2","Bulgaria","Euro","173.84",""
"2014S2","Czechia","Euro","309.62",""
"2014S2","Denmark","Euro",":","z"
"2014S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2014S2","Estonia","Euro","355.00",""
"2014S2","Ireland","Euro","1,461.85",""
"2014S2","Greece","Euro","683.76",""
"2014S2","Spain","Euro","752.85",""
"2014S2","France","Euro","1,445.38",""
"2014S2","Croatia","Euro","398.31",""
"2014S2","Italy","Euro",":","z"
"2014S2","Cyprus","Euro",":","z"
"2014S2","Latvia","Euro","320.00",""
"2014S2","Lithuania","Euro","289.62",""
"2014S2","Luxembourg","Euro","1,921.03",""
"2014S2","Hungary","Euro","328.16",""
"2014S2","Malta","Euro","717.95",""
"2014S2","Netherlands","Euro","1,495.20",""
"2014S2","Austria","Euro",":","z"
"2014S2","Poland","Euro","404.16",""
"2014S2","Portugal","Euro","565.83",""
"2014S2","Romania","Euro","205.34",""
"2014S2","Slovenia","Euro","789.15",""
"2014S2","Slovakia","Euro","352.00",""
"2014S2","Finland","Euro",":","z"
"2014S2","Sweden","Euro",":","z"
"2014S2","Iceland","Euro",":","z"
"2014S2","Norway","Euro",":","z"
"2014S2","Switzerland","Euro",":","z"
"2014S2","United Kingdom","Euro","1,301.31",""
"2014S2","Montenegro","Euro","288.05",""
"2014S2","North Macedonia","Euro","213.02",""
"2014S2","Albania","Euro","156.85",""
"2014S2","Serbia","Euro","232.68",""
"2014S2","Turkey","Euro","391.45",""
"2014S2","United States","Euro","920.10",""
"2015S1","Belgium","Euro","1,501.82",""
"2015S1","Bulgaria","Euro","184.07",""
"2015S1","Czechia","Euro","331.71",""
"2015S1","Denmark","Euro",":","z"
"2015S1","Germany (until 1990 former territory of the FRG)","Euro","1,440.00",""
"2015S1","Estonia","Euro","390.00",""
"2015S1","Ireland","Euro","1,461.85",""
"2015S1","Greece","Euro","683.76",""
"2015S1","Spain","Euro","756.70",""
"2015S1","France","Euro","1,457.52",""
"2015S1","Croatia","Euro","395.61",""
"2015S1","Italy","Euro",":","z"
"2015S1","Cyprus","Euro",":","z"
"2015S1","Latvia","Euro","360.00",""
"2015S1","Lithuania","Euro","300.00",""
"2015S1","Luxembourg","Euro","1,922.96",""
"2015S1","Hungary","Euro","332.76",""
"2015S1","Malta","Euro","720.46",""
"2015S1","Netherlands","Euro","1,501.80",""
"2015S1","Austria","Euro",":","z"
"2015S1","Poland","Euro","409.53",""
"2015S1","Portugal","Euro","589.17",""
"2015S1","Romania","Euro","217.50",""
"2015S1","Slovenia","Euro","790.73",""
"2015S1","Slovakia","Euro","380.00",""
"2015S1","Finland","Euro",":","z"
"2015S1","Sweden","Euro",":","z"
"2015S1","Iceland","Euro",":","z"
"2015S1","Norway","Euro",":","z"
"2015S1","Switzerland","Euro",":","z"
"2015S1","United Kingdom","Euro","1,378.87",""
"2015S1","Montenegro","Euro","288.05",""
"2015S1","North Macedonia","Euro","213.72",""
"2015S1","Albania","Euro","156.99",""
"2015S1","Serbia","Euro","235.04",""
"2015S1","Turkey","Euro","424.26",""
"2015S1","United States","Euro","1,035.06",""
"2015S2","Belgium","Euro","1,501.82",""
"2015S2","Bulgaria","Euro","194.29",""
"2015S2","Czechia","Euro","337.58",""
"2015S2","Denmark","Euro",":","z"
"2015S2","Germany (until 1990 former territory of the FRG)","Euro","1,440.00",""
"2015S2","Estonia","Euro","390.00",""
"2015S2","Ireland","Euro","1,461.85",""
"2015S2","Greece","Euro","683.76",""
"2015S2","Spain","Euro","756.70",""
"2015S2","France","Euro","1,457.52",""
"2015S2","Croatia","Euro","398.90",""
"2015S2","Italy","Euro",":","z"
"2015S2","Cyprus","Euro",":","z"
"2015S2","Latvia","Euro","360.00",""
"2015S2","Lithuania","Euro","325.00",""
"2015S2","Luxembourg","Euro","1,922.96",""
"2015S2","Hungary","Euro","333.41",""
"2015S2","Malta","Euro","720.46",""
"2015S2","Netherlands","Euro","1,507.80",""
"2015S2","Austria","Euro",":","z"
"2015S2","Poland","Euro","417.55",""
"2015S2","Portugal","Euro","589.17",""
"2015S2","Romania","Euro","234.77",""
"2015S2","Slovenia","Euro","790.73",""
"2015S2","Slovakia","Euro","380.00",""
"2015S2","Finland","Euro",":","z"
"2015S2","Sweden","Euro",":","z"
"2015S2","Iceland","Euro",":","z"
"2015S2","Norway","Euro",":","z"
"2015S2","Switzerland","Euro",":","z"
"2015S2","United Kingdom","Euro","1,509.70",""
"2015S2","Montenegro","Euro","288.05",""
"2015S2","North Macedonia","Euro","226.69",""
"2015S2","Albania","Euro","156.82",""
"2015S2","Serbia","Euro","235.51",""
"2015S2","Turkey","Euro","425.17",""
"2015S2","United States","Euro","1,123.13",""
"2016S1","Belgium","Euro","1,501.82",""
"2016S1","Bulgaria","Euro","214.75",""
"2016S1","Czechia","Euro","366.35",""
"2016S1","Denmark","Euro",":","z"
"2016S1","Germany (until 1990 former territory of the FRG)","Euro","1,440.00",""
"2016S1","Estonia","Euro","430.00",""
"2016S1","Ireland","Euro","1,546.35",""
"2016S1","Greece","Euro","683.76",""
"2016S1","Spain","Euro","764.40",""
"2016S1","France","Euro","1,466.62",""
"2016S1","Croatia","Euro","408.48",""
"2016S1","Italy","Euro",":","z"
"2016S1","Cyprus","Euro",":","z"
"2016S1","Latvia","Euro","370.00",""
"2016S1","Lithuania","Euro","350.00",""
"2016S1","Luxembourg","Euro","1,922.96",""
"2016S1","Hungary","Euro","351.29",""
"2016S1","Malta","Euro","728.04",""
"2016S1","Netherlands","Euro","1,524.60",""
"2016S1","Austria","Euro",":","z"
"2016S1","Poland","Euro","433.88",""
"2016S1","Portugal","Euro","618.33",""
"2016S1","Romania","Euro","232.10",""
"2016S1","Slovenia","Euro","790.73",""
"2016S1","Slovakia","Euro","405.00",""
"2016S1","Finland","Euro",":","z"
"2016S1","Sweden","Euro",":","z"
"2016S1","Iceland","Euro",":","z"
"2016S1","Norway","Euro",":","z"
"2016S1","Switzerland","Euro",":","z"
"2016S1","United Kingdom","Euro","1,512.36",""
"2016S1","Montenegro","Euro","288.05",""
"2016S1","North Macedonia","Euro","227.06",""
"2016S1","Albania","Euro","160.26",""
"2016S1","Serbia","Euro","233.53",""
"2016S1","Turkey","Euro","518.50",""
"2016S1","United States","Euro","1,154.28",""
"2016S2","Belgium","Euro","1,531.93",""
"2016S2","Bulgaria","Euro","214.75",""
"2016S2","Czechia","Euro","364.90",""
"2016S2","Denmark","Euro",":","z"
"2016S2","Germany (until 1990 former territory of the FRG)","Euro","1,440.00",""
"2016S2","Estonia","Euro","430.00",""
"2016S2","Ireland","Euro","1,546.35",""
"2016S2","Greece","Euro","683.76",""
"2016S2","Spain","Euro","764.40",""
"2016S2","France","Euro","1,466.62",""
"2016S2","Croatia","Euro","414.45",""
"2016S2","Italy","Euro",":","z"
"2016S2","Cyprus","Euro",":","z"
"2016S2","Latvia","Euro","370.00",""
"2016S2","Lithuania","Euro","380.00",""
"2016S2","Luxembourg","Euro","1,922.96",""
"2016S2","Hungary","Euro","350.09",""
"2016S2","Malta","Euro","728.04",""
